exchange,symbol,timeframe,close,volume,RSI,zscore,%B,ATRstretch,VWAPgap,VWAPgap_daily,BTC_rel_zscore,VolumeZScore,RVOL,BBW,ADX,delta_RSI,delta_zscore,delta_RVOL,delta_VWAPgap,delta_VWAPgap_daily,delta_BBW,delta_BTC_rel_zscore,delta_VolumeZScore,delta_%B,delta_ATRstretch,delta_ADX,flags_met
coinbase,XCN-USD,1h,0.02017,193921510.3,77.81316746748138,4.166320601234344,1.2026092493941123,4.498047864154013,0.11221522523090927,0.08274933129430527,4.354172812215676,1.094534463400073,2.909560169593571,0.2406827505090775,28.04597090590739,30.506514738782677,4.660339667504776,2.5771447193632433,0.12712987427811012,0.08274933129430527,0.18932022906318655,5.333088840441652,2.034163681198662,0.7275097812168316,4.415658632552134,10.592149605457124,3
coinbase,BTC-USD,1h,103863.55,215.33625065,57.68863838378226,0.8920579716378514,0.8697494700425457,1.5102572767002225,0.15822185842389863,0.008332155453923882,,-0.5499072193929353,0.6466429804240318,0.028351653523972047,20.525414225090298,4.992165075397629,0.41882194998489214,0.2638108709793611,-0.013432740558544681,0.008332155453923882,0.0018736711947148557,,0.5281346230078168,0.3002163900952797,1.1867029382006746,3.883841250076948,2
coinbase,SPELL-USD,1h,0.0006472,32279420.0,50.683625943421376,-0.4444391271624213,0.7290307277465404,0.6791203653194385,0.06719777569473419,0.008903513603435937,-0.6643449504603613,-0.5128279065767803,0.3946728080554485,0.07047165569886811,17.206244124930006,-5.499784621881837,-1.1689653032396725,-0.3813830019712285,-0.060203160978407624,0.008903513603435937,-0.021405028227789488,-1.393447553156291,-0.23391631417624387,0.006836787588158755,-0.5102668440594317,-2.558877467775428,2
