exchange,symbol,timeframe,close,volume,RSI,zscore,%B,ATRstretch,VWAPgap,VWAPgap_daily,BTC_rel_zscore,VolumeZScore,RVOL,BBW,ADX,delta_RSI,delta_zscore,delta_RVOL,delta_VWAPgap,delta_VWAPgap_daily,delta_BBW,delta_BTC_rel_zscore,delta_VolumeZScore,delta_%B,delta_ATRstretch,delta_ADX,flags_met
coinbase,B3-USD,1h,0.005098,45063894.0,35.09442485256045,-1.68586057910777,0.06916265278650445,1.2560893389224788,-0.05781342369374054,-0.038677391341190075,-1.9275513620854614,2.2125584265419085,2.073719388292941,0.07860475270583718,25.896362386423014,-9.832901397269666,-1.289622424732921,0.9165054246755966,-0.1071191796275705,-0.038677391341190075,-0.0016370729900685166,-1.2871303029344752,1.7785257285258633,-0.30906699760552026,0.741269262622916,2.2905080578732147,1
coinbase,BONK-USD,1h,2.101e-05,46765464103.0,39.838999001078186,-1.5849515084919892,0.16763069718425377,0.9717683652189113,0.2267298696614811,-0.03139687654436203,-1.865108735307745,0.048175799367861566,1.0164899751836538,0.08522740811709627,14.90591230426998,-12.570566541024945,-1.8123829122557802,0.12672901123683467,-0.15332009517310716,-0.03139687654436203,-0.025200272821023023,-2.0116954296163216,0.31584444020140157,-0.45017772840609255,0.5381628730879933,-7.249969845628234,1
coinbase,DOGE-USD,1h,0.21909,46226331.1,39.5896268646723,-1.7915459390361461,0.169523751395891,1.0696332101662205,0.2144480528463184,-0.023223210531394478,-2.2156082754722135,2.512464693649769,2.5999776998361375,0.07239932927544282,28.78980586828248,-21.628056119477776,-2.496366187740617,2.171586183173146,-0.13756785050191667,-0.023223210531394478,-0.04250070752255172,-2.9468580197394543,3.418453610441909,-0.5844500743186101,-0.49486527434246796,3.4061003025080403,1
coinbase,FLOKI-USD,1h,0.0001003,529978123.0,40.28545156718521,-1.4921512177751814,0.26644076573969605,0.7959276466916954,0.040233461955516574,-0.01862591539838001,-1.7588481316585425,0.21949794981097992,1.1920191086202594,0.08821512349505121,34.05087766603508,-8.103265276662043,-1.481915707024322,1.0620706345336843,-0.13867035137574385,-0.01862591539838001,-0.034041477960084415,-1.6427712328215225,1.4968286303848943,-0.18996108411180018,0.5877583088586517,20.896313646363524,1
coinbase,JASMY-USD,1h,0.01804,23898442.0,36.381691964318684,-1.605996665828427,0.16453434992393565,1.0544865527722302,0.2180951279403951,-0.030301224500814246,-1.8512522021884334,-0.04286056487894773,0.9725546515204126,0.08819322875489573,31.513532873841687,-20.1625349795559,-2.413334329283756,0.3708432435231279,-0.19784478459411953,-0.030301224500814246,-0.004960831153968212,-2.5861635113365486,0.563566262717872,-0.5357477281116568,0.18503232520709634,15.093919408829173,1
coinbase,KEYCAT-USD,1h,0.005116,10108363.0,31.49850486791891,-1.5175891188172697,0.10538596395573141,1.3475547454046437,-0.0570026306790881,-0.06417644513359508,-1.609742682731699,-0.5574302794635155,0.5297682648948291,0.1725911421589799,30.166759971200662,-22.34605230567972,-2.3556228229786416,0.2644462549531477,-0.4315248018586876,-0.06417644513359508,-0.025986155742660222,-2.4096340807507133,0.17928668584204388,-0.40322882436924823,1.3244252840052047,-6.541501371722809,1
coinbase,PEPE-USD,1h,1.307e-05,136503789594.0,41.20564110842271,-1.8527967953539874,0.18735903178267105,0.9550831743922003,0.11440267040281103,-0.028317686830021255,-2.3337825443715947,-0.48284282370279713,0.8130023495809009,0.08550763362437355,29.732945101504235,-12.23940450031619,-2.3573880771353593,0.42401417639567723,-0.129350623061534,-0.028317686830021255,-0.05358851584961444,-2.8370669905909045,0.6114628827680573,-0.3837715708276655,0.5791319411633862,11.147349283991748,1
coinbase,SHIB-USD,1h,1.484e-05,25292593153.0,41.830548094594555,-1.324138525126825,0.3436719145018906,0.4510297929303375,0.09798001470555501,-0.01280050207990146,-1.6590193753513476,-0.4862796001603129,0.8092093270184086,0.056185393771430024,31.410917913462487,-16.248608206427157,-1.7201960987212748,0.4879376736927023,-0.11864395185800766,-0.01280050207990146,-0.054509608256831675,-2.0104538030433527,0.7423941394979459,-0.3673709672672024,-0.9243976838588559,8.141268339625835,1
coinbase,TOSHI-USD,1h,0.0006801,1446795087.0,42.499330453547294,-1.4192849066502018,0.27826790955790665,0.6903602625698417,0.03075772125061203,-0.042204657182411016,-1.5945337641004864,-0.12307788766510792,0.9586200861148986,0.15087851020132625,20.619369684069703,-1.4034477897775375,-0.8387226971374518,-0.04490992701555996,-0.19800289216955044,-0.042204657182411016,0.0050016751634738565,-0.9396646814544873,-0.13006599086524037,0.05587477913967981,-0.22249556178789986,3.762024207204714,1
coinbase,TURBO-USD,1h,0.005189,58470465.0,40.30696738227163,-1.4483703963149053,0.3190589708084178,0.6613118520923734,-0.04990384542453215,-0.0155151706505965,-1.7279815152580016,1.195855047290879,1.801538448913027,0.10003032702855003,21.47203060423615,-9.873399227764317,-1.3606052770246055,1.4800850360576003,-0.11981276247268609,-0.0155151706505965,0.02913615015329292,-1.4960108297499721,2.3805967564004944,-0.1878233662249978,0.6414468207613195,6.637347938748489,1
