exchange,symbol,timeframe,%B,ADX,ATRstretch,BBW,BTC_rel_zscore,RSI,RVOL,VWAPgap,VWAPgap_daily,VolumeZScore,close,delta_%B,delta_ADX,delta_ATRstretch,delta_BBW,delta_BTC_rel_zscore,delta_RSI,delta_RVOL,delta_VWAPgap,delta_VWAPgap_daily,delta_VolumeZScore,delta_zscore,volume,zscore
coinbase,AMP-USD,1h,0.2549731343680074,25.253473268249817,1.3004908302611335,0.19633132141276285,-0.7548408721504337,41.95127938777741,0.190184562673075,-0.032718625009921426,-0.07253758770921911,-1.0910910369212667,0.00465,,,,,,,,,,,,12367855.0,-0.7026054900764903
coinbase,B3-USD,1h,0.06916265278650445,25.896362386423014,1.2560893389224788,0.07860475270583718,-1.9275513620854614,35.09442485256045,2.073719388292941,-0.05781342369374054,-0.038677391341190075,2.2125584265419085,0.005098,-0.30906699760552026,2.2905080578732147,0.741269262622916,-0.0016370729900685166,-1.2871303029344752,-9.832901397269666,0.9165054246755966,-0.1071191796275705,-0.038677391341190075,1.7785257285258633,-1.289622424732921,45063894.0,-1.68586057910777
coinbase,BONK-USD,1h,0.16763069718425377,14.90591230426998,0.9717683652189113,0.08522740811709627,-1.865108735307745,39.838999001078186,1.0164899751836538,0.2267298696614811,-0.03139687654436203,0.048175799367861566,2.101e-05,-0.45017772840609255,-7.249969845628234,0.5381628730879933,-0.025200272821023023,-2.0116954296163216,-12.570566541024945,0.12672901123683467,-0.15332009517310716,-0.03139687654436203,0.31584444020140157,-1.8123829122557802,46765464103.0,-1.5849515084919892
coinbase,BTC-USD,1h,0.8697494700425457,20.525414225090298,1.5102572767002225,0.028351653523972047,,57.68863838378226,0.6466429804240318,0.15822185842389863,0.008332155453923882,-0.5499072193929353,103863.55,0.3002163900952797,3.883841250076948,1.1867029382006746,0.0018736711947148557,,4.992165075397629,0.2638108709793611,-0.013432740558544681,0.008332155453923882,0.5281346230078168,0.41882194998489214,215.33625065,0.8920579716378514
coinbase,DEGEN-USD,1h,0.16938100781513737,21.30554402598788,1.1941627652604847,0.16640910246223323,-1.4866291863953323,33.15023019043457,1.1925805693292457,-0.1194139996114936,-0.0723826022395989,0.40081061001186574,0.005352,-0.2486450218945923,-21.822672800269228,0.93910722496992,-0.06180731642616086,-2.188535925722816,-19.093748481944324,0.6956240583380999,-0.36273824494081897,-0.07238260223959879,1.5576696287561482,-2.126440161413194,126058627.0,-1.3970297854132185
coinbase,DOGE-USD,1h,0.169523751395891,28.78980586828248,1.0696332101662205,0.07239932927544282,-2.2156082754722135,39.5896268646723,2.5999776998361375,0.2144480528463184,-0.023223210531394478,2.512464693649769,0.21909,-0.5844500743186101,3.4061003025080403,-0.49486527434246796,-0.04250070752255172,-2.9468580197394543,-21.628056119477776,2.171586183173146,-0.13756785050191667,-0.023223210531394478,3.418453610441909,-2.496366187740617,46226331.1,-1.7915459390361461
coinbase,DOGINME-USD,1h,0.24362503140403058,13.961703123267652,0.6247911104694561,0.1514200068133184,-1.3589830070591142,42.6640477210055,0.34074047783783196,0.10311265267679527,-0.04530880530650551,-0.900912139990705,0.000863,-0.287792211573225,-37.9353168711261,0.4568772538219985,-0.40212003094155974,-2.3690784788356423,-10.290597643748846,-0.15459612406041773,-0.3536314527084553,-0.04530880530650551,-0.4590151500299258,-2.2716994877526453,56374229.0,-1.2518329488150297
coinbase,FAI-USD,1h,0.09436441460975462,47.01514119764221,1.7754458883834288,0.21492555270179448,0.19823210960944537,44.65943446090292,0.27019388697388574,0.046902255960936064,-0.12595646877394764,-0.9136881646323842,0.02382,,,,,,,,,,,,4068661.0,0.2501086917522705
coinbase,FLOKI-USD,1h,0.26644076573969605,34.05087766603508,0.7959276466916954,0.08821512349505121,-1.7588481316585425,40.28545156718521,1.1920191086202594,0.040233461955516574,-0.01862591539838001,0.21949794981097992,0.0001003,-0.18996108411180018,20.896313646363524,0.5877583088586517,-0.034041477960084415,-1.6427712328215225,-8.103265276662043,1.0620706345336843,-0.13867035137574385,-0.01862591539838001,1.4968286303848943,-1.481915707024322,529978123.0,-1.4921512177751814
coinbase,JASMY-USD,1h,0.16453434992393565,31.513532873841687,1.0544865527722302,0.08819322875489573,-1.8512522021884334,36.381691964318684,0.9725546515204126,0.2180951279403951,-0.030301224500814246,-0.04286056487894773,0.01804,-0.5357477281116568,15.093919408829173,0.18503232520709634,-0.004960831153968212,-2.5861635113365486,-20.1625349795559,0.3708432435231279,-0.19784478459411953,-0.030301224500814246,0.563566262717872,-2.413334329283756,23898442.0,-1.605996665828427
coinbase,KEYCAT-USD,1h,0.10538596395573141,30.166759971200662,1.3475547454046437,0.1725911421589799,-1.609742682731699,31.49850486791891,0.5297682648948291,-0.0570026306790881,-0.06417644513359508,-0.5574302794635155,0.005116,-0.40322882436924823,-6.541501371722809,1.3244252840052047,-0.025986155742660222,-2.4096340807507133,-22.34605230567972,0.2644462549531477,-0.4315248018586876,-0.06417644513359508,0.17928668584204388,-2.3556228229786416,10108363.0,-1.5175891188172697
coinbase,MOBILE-USD,1h,0.456647996026309,18.19705928214909,0.11920212832251219,0.08144482531613267,-0.4776186163655101,47.9896586201879,0.10868521479986341,-0.011875496865965608,-0.03826090767528009,-1.0185766492013972,0.000508,-0.13897791815781713,0.18928043834143082,-0.3793258925181989,-0.004688503886566331,-0.7054010430860649,-4.178079922605882,-0.1854359787894992,-0.03206651308189605,-0.03826090767528009,-0.23432647545279506,-0.6859041386109204,9416990.0,-0.3251221193287376
